	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
205878	Cc1cc(Nc2c(C)cccc2C)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.301029995663981	500.0	CHEMBL3585600	CHEMBL3130	True
206203	Cc1cc(Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.3872161432802645	410.0	CHEMBL3585595	CHEMBL3130	True
206207	Cc1cc(Nc2ccccc2C)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.508638306165728	310.0	CHEMBL3585597	CHEMBL3130	True
207475	Cc1cc(Oc2ccccc2C)c2[nH]c(N3CCOCC3)cc(=O)c2c1	O00329	IC50	Homo sapiens	6.200659450546419	630.0	CHEMBL3218572	CHEMBL3130	True
207808	Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	O00329	IC50	Homo sapiens	6.086186147616282	820.0	CHEMBL3932938	CHEMBL3130	True
208186	Cc1cc2c(cc1-c1ccnn1C1CCN(C)CC1)OCCn1cc(-c3ncnn3C(C)C)nc1-2	O00329	IC50	Homo sapiens	7.761953896871206	17.3	CHEMBL3704670	CHEMBL3130	False
209722	Cc1ccc(-c2ccc3nc(N)sc3c2)cn1	O00329	IC50	Homo sapiens	5.899998417198647	1258.93	CHEMBL3600691	CHEMBL3130	True
209739	Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)O)CC2)c(=O)n4C)cn1	O00329	Ki	Homo sapiens	9.913640169325252	0.122	CHEMBL2331664	CHEMBL3130	True
210002	Cc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1	O00329	IC50	Homo sapiens	5.942333896090172	1142.0	CHEMBL2326970	CHEMBL3130	True
210469	Cc1ccc(-c2nn(C3Cc4ccccc4C3)c3ncnc(N)c23)cc1O	O00329	IC50	Homo sapiens	6.764471553092451	172.0	CHEMBL3957821	CHEMBL3130	True
210659	Cc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1	O00329	IC50	Homo sapiens	5.599980364934841	2512.0	CHEMBL3290305	CHEMBL3130	True
212378	Cc1ccc(C(=O)Nc2cccn3c(=O)cc(N4CCOCC4)nc23)cc1	O00329	IC50	Homo sapiens	7.522878745280337	30.0	CHEMBL3585619	CHEMBL3130	True
213079	Cc1ccc(C)c(S(=O)(=O)N2CCN(Cn3cc4c(=O)oc5ccccc5c4n3)CC2)c1	O00329	IC50	Homo sapiens	5.847711655616942	1420.0	CHEMBL4445433	CHEMBL3130	True
213098	Cc1ccc(C)c(S(=O)(=O)n2cc3c(=O)oc4ccccc4c3n2)c1	O00329	IC50	Homo sapiens	5.407823242604133	3910.0	CHEMBL4469594	CHEMBL3130	True
214186	Cc1ccc(CNc2cc(C)cn3c(=O)cc(N4CCOCC4)nc23)cc1	O00329	IC50	Homo sapiens	6.1938200260161125	640.0	CHEMBL3585603	CHEMBL3130	True
214563	Cc1ccc(Cn2c(=O)n(C)c3c4cc(-c5cnc6ccccc6c5)ccc4ncc32)cc1	O00329	IC50	Homo sapiens	7.735182176990462	18.4	CHEMBL4536349	CHEMBL3130	False
216079	Cc1ccc(NC(=O)c2cccn3c(=O)cc(N4CCOCC4)nc23)cc1	O00329	IC50	Homo sapiens	6.853871964321763	140.0	CHEMBL3585612	CHEMBL3130	True
